City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
79,Longyearbyen,78.2186,15.6401,-2.2,55,20,20.71,SJ,few clouds
80,Praia,14.9215,-23.5087,73.4,64,0,18.41,CV,clear sky
81,Bredasdorp,-34.5322,20.0403,66.99,83,4,1.99,ZA,clear sky
82,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
83,Lebu,-37.6167,-73.65,62.01,70,8,11.36,CL,clear sky
84,Grindavik,63.8424,-22.4338,23.0,74,20,17.27,IS,few clouds
85,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
86,Qaanaaq,77.484,-69.3632,-7.26,70,91,1.66,GL,overcast clouds
87,Upernavik,72.7868,-56.1549,-9.85,85,4,7.05,GL,clear sky
88,Ilulissat,69.2167,-51.1,3.2,66,75,8.05,GL,broken clouds
89,Qaanaaq,77.484,-69.3632,-7.26,70,91,1.66,GL,overcast clouds
90,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
91,Maniitsoq,65.4167,-52.9,13.3,81,0,11.61,GL,clear sky
92,Bredasdorp,-34.5322,20.0403,66.99,83,4,1.99,ZA,clear sky
93,Georgetown,5.4112,100.3354,80.01,78,20,3.44,MY,few clouds
94,Znamenskoye,57.1281,73.8282,-0.63,93,100,10.65,RU,overcast clouds
95,Upernavik,72.7868,-56.1549,-9.85,85,4,7.05,GL,clear sky
96,Matara,5.9485,80.5353,76.19,88,97,3.89,LK,overcast clouds
97,Qaanaaq,77.484,-69.3632,-7.26,70,91,1.66,GL,overcast clouds
98,Bengkulu,-3.8004,102.2655,75.34,88,100,5.84,ID,overcast clouds
99,Albany,42.6001,-73.9662,21.0,46,11,5.01,US,few clouds
100,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
101,Busselton,-33.65,115.3333,63.0,76,0,4.0,AU,clear sky
102,Nanortalik,60.1432,-45.2371,32.13,90,100,8.68,GL,overcast clouds
103,Longyearbyen,78.2186,15.6401,-2.2,55,20,20.71,SJ,few clouds
104,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
105,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
106,Longyearbyen,78.2186,15.6401,-2.2,55,20,20.71,SJ,few clouds
107,Luanda,-8.8368,13.2343,80.6,74,40,6.91,AO,scattered clouds
108,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
109,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
110,Qaanaaq,77.484,-69.3632,-7.26,70,91,1.66,GL,overcast clouds
111,Albany,42.6001,-73.9662,21.0,46,11,5.01,US,few clouds
112,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
113,Busselton,-33.65,115.3333,63.0,76,0,4.0,AU,clear sky
114,Albany,42.6001,-73.9662,21.0,46,11,5.01,US,few clouds
115,Dikson,73.5069,80.5464,-35.93,81,0,8.23,RU,clear sky
116,Mitsamiouli,-11.3847,43.2844,82.24,76,100,9.06,KM,overcast clouds
117,Douglas,41.3,-96.167,36.0,93,90,14.97,US,light rain
118,Qaanaaq,77.484,-69.3632,-7.26,70,91,1.66,GL,overcast clouds
119,Albany,42.6001,-73.9662,21.0,46,11,5.01,US,few clouds
